Column1,Column2,Column3,
IATF,International Automotive Task Force,"""IATF"":""International Automotive Task Force"" ",
IBAR,Inventory Billing Adjustment Report,"""IBAR"":""Inventory Billing Adjustment Report"" ",
IBAR ,– Internal Billing Adjustment Report – a paper form taken to a Sherwin-Williams site to purchase paint. All paint purchased from stores must be done using an IBAR. The form can be located on the share drive: S:\Accounting\IBAR process,"""IBAR "":""– Internal Billing Adjustment Report – a paper form taken to a Sherwin-Williams site to purchase paint. All paint purchased from stores must be done using an IBAR. The form can be located on the share drive: S:\Accounting\IBAR process"" ",
IBC,Intermediate Bulk Container,"""IBC"":""Intermediate Bulk Container"" ",
IBM,International Business Machines,"""IBM"":""International Business Machines"" ",
IBR,Inbound Recovery System,"""IBR"":""Inbound Recovery System"" ",
IC,Individual Contributor,"""IC"":""Individual Contributor"" ",
IC,Information Center,"""IC"":""Information Center"" ",
ICM,Institutional Calibration Methods,"""ICM"":""Institutional Calibration Methods"" ",
ICR,Inventory Control Report,"""ICR"":""Inventory Control Report"" ",
ICR ,Inventory Control Record,"""ICR "":""Inventory Control Record"" ",
ICS,International Classification for Standards ,"""ICS"":""International Classification for Standards "" ",
IDI,Inter-Division Invoice,"""IDI"":""Inter-Division Invoice"" ",
IDK,Invoice Date Key,"""IDK"":""Invoice Date Key"" ",
Idle Assets,Idle Assets,"""Idle Assets"":""Idle Assets"" ",
IDMS,Integrated Database Management System,"""IDMS"":""Integrated Database Management System"" ",
IDN,IdentityNow,"""IDN"":""IdentityNow"" ",
Idol,Full-Text Indexing Server for Autonomy IDOL (11.0),"""Idol"":""Full-Text Indexing Server for Autonomy IDOL (11.0)"" ",
IE," Innovation Excellence: One of the Company’s 6 “Culture of Excellence” Initiatives. Innovation Excellence targets and connects the world-wide R&D areas within SW, leveraging best practices across Divisions to enhance communications. The other 5 initiative","""IE"":"" Innovation Excellence: One of the Company’s 6 “Culture of Excellence” Initiatives. Innovation Excellence targets and connects the world-wide R&D areas within SW, leveraging best practices across Divisions to enhance communications. The other 5 initiative"" ",
IEEE,Institute of Electrical and Electronic Engineers,"""IEEE"":""Institute of Electrical and Electronic Engineers"" ",
IEMA,Institute of Environmental Management and Assessment,"""IEMA"":""Institute of Environmental Management and Assessment"" ",
IETF,Internet Engineering Task force,"""IETF"":""Internet Engineering Task force"" ",
IFS,IFS,"""IFS"":""IFS"" ",
IFT,International Fuel Tax,"""IFT"":""International Fuel Tax"" ",
IG,Initiator Group,"""IG"":""Initiator Group"" ",
IH,Industrial Hygienist,"""IH"":""Industrial Hygienist"" ",
IHS,IHS,"""IHS"":""IHS"" ",
IIS,Internet Information Server,"""IIS"":""Internet Information Server"" ",
ILAC,International Laboratory Accreditation Cooperation ,"""ILAC"":""International Laboratory Accreditation Cooperation "" ",
IM,Industrial Maintenance,"""IM"":""Industrial Maintenance"" ",
IM,Incident Management,"""IM"":""Incident Management"" ",
IM,Industrial Mount,"""IM"":""Industrial Mount"" ",
IM,Instant Messenger,"""IM"":""Instant Messenger"" ",
Image Files,Image Files,"""Image Files"":""Image Files"" ",
IMDG,International Maritime Dangerous Goods,"""IMDG"":""International Maritime Dangerous Goods"" ",
IMDS,International Material Data System ,"""IMDS"":""International Material Data System "" ",
IMI,Industri-Matematik International,"""IMI"":""Industri-Matematik International"" ",
IMO,International Maritime Organization,"""IMO"":""International Maritime Organization"" ",
IMO DGD,Multimodal Dangerous Goods Declaration,"""IMO DGD"":""Multimodal Dangerous Goods Declaration"" ",
IMT,Industrial Mounted Terminal,"""IMT"":""Industrial Mounted Terminal"" ",
IN,Information Notice,"""IN"":""Information Notice"" ",
Incidents,Incidents,"""Incidents"":""Incidents"" ",
INDICO,INDICO,"""INDICO"":""INDICO"" ",
InfoBlox,InfoBlox,"""InfoBlox"":""InfoBlox"" ",
INGL/WINGL,INGL/WINGL ,"""INGL/WINGL"":""INGL/WINGL "" ",
Intermixes,Intermixes,"""Intermixes"":""Intermixes"" ",
Invoice Creation,Invoice Creation,"""Invoice Creation"":""Invoice Creation"" ",
IOC,Inorganic Chemical,"""IOC"":""Inorganic Chemical"" ",
IP,Internet Protocol,"""IP"":""Internet Protocol"" ",
iP,iProcurement,"""iP"":""iProcurement"" ",
IPAM,Internet Protocol Address Management,"""IPAM"":""Internet Protocol Address Management"" ",
IPM,Image Processing Management,"""IPM"":""Image Processing Management"" ",
IPPLAN,IPPLAN,"""IPPLAN"":""IPPLAN"" ",
IPUP,Incremental Parallel Upgrade Process,"""IPUP"":""Incremental Parallel Upgrade Process"" ",
IQA,Internal Quality Audit,"""IQA"":""Internal Quality Audit"" ",
IQR,Inventory Quality Ratio,"""IQR"":""Inventory Quality Ratio"" ",
IRC ,Innovation Resource Center,"""IRC "":""Innovation Resource Center"" ",
IRCA,International Register of Certificated Auditors,"""IRCA"":""International Register of Certificated Auditors"" ",
IRP,International Registration Plan,"""IRP"":""International Registration Plan"" ",
IRR,Internal Rate of Return,"""IRR"":""Internal Rate of Return"" ",
ISA/EISA,"Industry Standard Architecture /
Extended Industry Standard Architecture","""ISA/EISA"":""Industry Standard Architecture /
Extended Industry Standard Architecture"" ",
ISIS,ISIS,"""ISIS"":""ISIS"" ",
ISK,ISK,"""ISK"":""ISK"" ",
ISO," International Organization for Standardization: BTC is ISO-9001 certified, which requires periodic re-certification by outside auditors. At Sherwin-Williams we use ISO 9001 as a standard for a total Business Management System. It is part of the company’s","""ISO"":"" International Organization for Standardization: BTC is ISO-9001 certified, which requires periodic re-certification by outside auditors. At Sherwin-Williams we use ISO 9001 as a standard for a total Business Management System. It is part of the company’s"" ",
ISR,Inter-Store Receivables,"""ISR"":""Inter-Store Receivables"" ",
ISR,Inter Store Request,"""ISR"":""Inter Store Request"" ",
ISR,In Store Resolution,"""ISR"":""In Store Resolution"" ",
IST,Inter-Store Transfer,"""IST"":""Inter-Store Transfer"" ",
IST,Inoculation Setting pre-Test,"""IST"":""Inoculation Setting pre-Test"" ",
IT,Information Technology,"""IT"":""Information Technology"" ",
IT,Information Technology,"""IT"":""Information Technology"" ",
ITAR,International Traffic in Arms Regulations,"""ITAR"":""International Traffic in Arms Regulations"" ",
ITM,International Test Method,"""ITM"":""International Test Method"" ",
ITN,Internal Transaction Number,"""ITN"":""Internal Transaction Number"" ",
IUCLID5,IUCLID5,"""IUCLID5"":""IUCLID5"" ",
IVAN,Inventory Analysis,"""IVAN"":""Inventory Analysis"" ",
IW,Inter Warehouse,"""IW"":""Inter Warehouse"" ",
IWA,International Workshop Agreements,"""IWA"":""International Workshop Agreements"" ",
IWD,Industrial Wood Division,"""IWD"":""Industrial Wood Division"" ",
J29,J29/Special,"""J29"":""J29/Special"" ",
J-29,Custom Rush Batch,"""J-29"":""Custom Rush Batch"" ",
JAS,Job Applicant System,"""JAS"":""Job Applicant System"" ",
JBDS,JBoss Development Studio,"""JBDS"":""JBoss Development Studio"" ",
JDA (i2),JDA (i2),"""JDA (i2)"":""JDA (i2)"" ",
JIT,Just In Time,"""JIT"":""Just In Time"" ",
JRE,Java Runtime Environment,"""JRE"":""Java Runtime Environment"" ",
JSA,Job Safety Analysis,"""JSA"":""Job Safety Analysis"" ",
JTA,Job Task Analysis,"""JTA"":""Job Task Analysis"" ",
JUSE,Japanese Union of Scientists & Engineers,"""JUSE"":""Japanese Union of Scientists & Engineers"" ",
JV,Journal Voucher,"""JV"":""Journal Voucher"" ",
K14,Inter warehouse transfer of finished goods,"""K14"":""Inter warehouse transfer of finished goods"" ",
K17,Shipment of plant production to warehouse,"""K17"":""Shipment of plant production to warehouse"" ",
KAIZEN,KAIZEN (Translated: GOOD CHANGE),"""KAIZEN"":""KAIZEN (Translated: GOOD CHANGE)"" ",
Kaleidoscope ," The Sherwin-Williams Company newsletter issued quarterly. Electronic versions can be found on MySherwin, Home tab under employee communications.","""Kaleidoscope "":"" The Sherwin-Williams Company newsletter issued quarterly. Electronic versions can be found on MySherwin, Home tab under employee communications."" ",
Kan Ban,Kan Ban,"""Kan Ban"":""Kan Ban"" ",
KDS,Key Decision Spreadsheet,"""KDS"":""Key Decision Spreadsheet"" ",
Key Decision,Key Decision,"""Key Decision"":""Key Decision"" ",
Key User,Higher level users who will train end users,"""Key User"":""Higher level users who will train end users"" ",
KL,"Kuala Lumpar, Malaysia","""KL"":""Kuala Lumpar, Malaysia"" ",
KM,Knowledge Management,"""KM"":""Knowledge Management"" ",
KP,Kitting Parts,"""KP"":""Kitting Parts"" ",
KPI,Key Performance Indicators,"""KPI"":""Key Performance Indicators"" ",
KPIV,Key Process Input Variables (Project Inputs - Causes),"""KPIV"":""Key Process Input Variables (Project Inputs - Causes)"" ",
KPOV,Key Process Output Variables (Project Outputs - Effect),"""KPOV"":""Key Process Output Variables (Project Outputs - Effect)"" ",
KST,KST,"""KST"":""KST"" ",
KUT,Key User Training,"""KUT"":""Key User Training"" ",
KW,Keywords,"""KW"":""Keywords"" ",
L-A-B,Laboratory Accreditation Bureau,"""L-A-B"":""Laboratory Accreditation Bureau"" ",
Lab Project / Service Request,Lab Project / Service Request,"""Lab Project / Service Request"":""Lab Project / Service Request"" ",
LACG,Latin America Coatings Group,"""LACG"":""Latin America Coatings Group"" ",
LACG or LAG,Latin America Coatings Group or Latin America Group.  The latter is more in line with the three letter abbreviations of the other divisions.,"""LACG or LAG"":""Latin America Coatings Group or Latin America Group.  The latter is more in line with the three letter abbreviations of the other divisions."" ",
LAD,Latin America Division,"""LAD"":""Latin America Division"" ",
LAER,Lowest Achievable Emission Rate,"""LAER"":""Lowest Achievable Emission Rate"" ",
LAG,Latin American Group,"""LAG"":""Latin American Group"" ",
LAM,Latin America,"""LAM"":""Latin America"" ",
LAR,Large Account Reseller,"""LAR"":""Large Account Reseller"" ",
LASR,Lab Analytical Service Request,"""LASR"":""Lab Analytical Service Request"" ",
LatAm,Latin America,"""LatAm"":""Latin America"" ",
Layout/View,Layout/View,"""Layout/View"":""Layout/View"" ",
LB,Load Balancer,"""LB"":""Load Balancer"" ",
LCL,Lower Control Limit,"""LCL"":""Lower Control Limit"" ",
LDAP,Lightweight Directory Access Protocol,"""LDAP"":""Lightweight Directory Access Protocol"" ",
LDAPSOFT,Lightweight Directory Access Protocol Software,"""LDAPSOFT"":""Lightweight Directory Access Protocol Software"" ",
LDR,Land Disposal Restrictions,"""LDR"":""Land Disposal Restrictions"" ",
Lean,Lean,"""Lean"":""Lean"" ",
LEE,Leadership Excellence,"""LEE"":""Leadership Excellence"" ",
LEED,Leadership in Energy and Environmental Design,"""LEED"":""Leadership in Energy and Environmental Design"" ",
LEL,Lower Explosion Limit,"""LEL"":""Lower Explosion Limit"" ",
Lifecycle,Lifecycle,"""Lifecycle"":""Lifecycle"" ",
LIFO,Last in First Out,"""LIFO"":""Last in First Out"" ",
LIMS, Laboratory Information Management System: A general term used to describe a suite of in-house applications that consist of the following applications. Note - The LIMS icon can be found in your Application Launcher:,"""LIMS"":"" Laboratory Information Management System: A general term used to describe a suite of in-house applications that consist of the following applications. Note - The LIMS icon can be found in your Application Launcher:"" ",
Line Service,Line Service,"""Line Service"":""Line Service"" ",
Lines,Lines,"""Lines"":""Lines"" ",
LMS,Learning Management System,"""LMS"":""Learning Management System"" ",
LMS,Learning Management System,"""LMS"":""Learning Management System"" ",
LOCA,Loss of Coolant Accident,"""LOCA"":""Loss of Coolant Accident"" ",
LOE,Lack of Objective Evidence,"""LOE"":""Lack of Objective Evidence"" ",
LOELs,Lowest Observed Effect Levels,"""LOELs"":""Lowest Observed Effect Levels"" ",
LOI,Loss Offense Incident,"""LOI"":""Loss Offense Incident"" ",
LOLI,Lists of Lists Inventory,"""LOLI"":""Lists of Lists Inventory"" ",
LOS,Loss of Sale,"""LOS"":""Loss of Sale"" ",
LOTO,Lock Out Tag Out,"""LOTO"":""Lock Out Tag Out"" ",
LOV,List of Values,"""LOV"":""List of Values"" ",
LPI,L Printer Interface,"""LPI"":""L Printer Interface"" ",
LQG,Large Quantity Generator,"""LQG"":""Large Quantity Generator"" ",
LRQ,Lab Regulatory & Quality,"""LRQ"":""Lab Regulatory & Quality"" ",
LSL,Lower Specification Limit,"""LSL"":""Lower Specification Limit"" ",
LSMR ,Loss Spoiled Material Report,"""LSMR "":""Loss Spoiled Material Report"" ",
LT,Load Test,"""LT"":""Load Test"" ",
LTD QTY,Limited Quantity,"""LTD QTY"":""Limited Quantity"" ",
LTL,Less Than Load,"""LTL"":""Less Than Load"" ",
LTL,Less Than (truck)Load,"""LTL"":""Less Than (truck)Load"" ",
LTL,Lower Tolerance Limit,"""LTL"":""Lower Tolerance Limit"" ",
LTM,Local Traffic Manager,"""LTM"":""Local Traffic Manager"" ",
LTPD,Lot Tolerance Percentage Defective,"""LTPD"":""Lot Tolerance Percentage Defective"" ",
LUA,Least User Access support,"""LUA"":""Least User Access support"" ",
LUN,Logical Unit Number,"""LUN"":""Logical Unit Number"" ",
LUNS,Logical Unit Number Storage,"""LUNS"":""Logical Unit Number Storage"" ",
LYR,Last Year,"""LYR"":""Last Year"" ",
M&TE,Measuring and Test Equipment,"""M&TE"":""Measuring and Test Equipment"" ",
MACT,Maximum Achievable Control Technology,"""MACT"":""Maximum Achievable Control Technology"" ",
MAR,Meditech Archive Report (file extension),"""MAR"":""Meditech Archive Report (file extension)"" ",
Margin Credits,Margin Credits,"""Margin Credits"":""Margin Credits"" ",
Marketing,Marketing,"""Marketing"":""Marketing"" ",
Master Primary Cost,Master Primary Cost,"""Master Primary Cost"":""Master Primary Cost"" ",
Master Rex,Master Rex,"""Master Rex"":""Master Rex"" ",
MatEval,Material Evaluation,"""MatEval"":""Material Evaluation"" ",
MAV,Minimum Acceptable Value,"""MAV"":""Minimum Acceptable Value"" ",
MaxL,MaxL,"""MaxL"":""MaxL"" ",
MBB,Master Black Belt,"""MBB"":""Master Black Belt"" ",
MBM,Management by Magazine,"""MBM"":""Management by Magazine"" ",
MBR,MBR,"""MBR"":""MBR"" ",
MCL,Maximum Contaminant Levels,"""MCL"":""Maximum Contaminant Levels"" ",
MCP,Microbial Control Program,"""MCP"":""Microbial Control Program"" ",
MDI,Management Dynamic Inc.,"""MDI"":""Management Dynamic Inc."" ",
MDM,Mobile Device Management,"""MDM"":""Mobile Device Management"" ",
MDM,Material Data Management,"""MDM"":""Material Data Management"" ",
MDT,Microsoft Data Translator?,"""MDT"":""Microsoft Data Translator?"" ",
MDX,MDX,"""MDX"":""MDX"" ",
Medina Weathering Station ,Medina Weathering Station ,"""Medina Weathering Station "":""Medina Weathering Station "" ",
MERC,Manual Entry Reason Code,"""MERC"":""Manual Entry Reason Code"" ",
MES,Manufacturing Enterprise Systems,"""MES"":""Manufacturing Enterprise Systems"" ",
Metadata,Metadata,"""Metadata"":""Metadata"" ",
MFD,Multi-functional devices,"""MFD"":""Multi-functional devices"" ",
MFG,Manufacturing,"""MFG"":""Manufacturing"" ",
MGLC,Maximum Ground Level Concentration,"""MGLC"":""Maximum Ground Level Concentration"" ",
MHP,Manufacturing Hygiene Program,"""MHP"":""Manufacturing Hygiene Program"" ",
Microsoft Dynamics CRM 2011,Microsoft Dynamics CRM 2011,"""Microsoft Dynamics CRM 2011"":""Microsoft Dynamics CRM 2011"" ",
MIL-STD,Military Standard,"""MIL-STD"":""Military Standard"" ",
MIPS,Matched Invoice Payment System,"""MIPS"":""Matched Invoice Payment System"" ",
MIRA,"Management of Change, Incident Management, Risk Analysis, Audit Management","""MIRA"":""Management of Change, Incident Management, Risk Analysis, Audit Management"" ",
MIS,Manufacturing Information Systems,"""MIS"":""Manufacturing Information Systems"" ",
MITI,MITI,"""MITI"":""MITI"" ",
ML,Manufacturing Location,"""ML"":""Manufacturing Location"" ",
MLPP,Multi-Language Print Programs,"""MLPP"":""Multi-Language Print Programs"" ",
MM ,Manager of Manager,"""MM "":""Manager of Manager"" ",
MMS,Merchandise Management System,"""MMS"":""Merchandise Management System"" ",
MO,Manager of Others,"""MO"":""Manager of Others"" ",
MO,Material Organization,"""MO"":""Material Organization"" ",
MOB,Maintenance of Business,"""MOB"":""Maintenance of Business"" ",
Mobius,Mobius,"""Mobius"":""Mobius"" ",
MOC,Management of Change,"""MOC"":""Management of Change"" ",
MON,Miscellaneous Organic NESHAP,"""MON"":""Miscellaneous Organic NESHAP"" ",
Mosaic,Mosaic,"""Mosaic"":""Mosaic"" ",
MP&L,Material Planning & Logistics,"""MP&L"":""Material Planning & Logistics"" ",
MP2,Maintenance Management 2,"""MP2"":""Maintenance Management 2"" ",
MPF,Master Product File,"""MPF"":""Master Product File"" ",
MPI,Master Painters Institute,"""MPI"":""Master Painters Institute"" ",
mPOS,Mobile Point of Sale,"""mPOS"":""Mobile Point of Sale"" ",
MPS,Master Production Scheduling,"""MPS"":""Master Production Scheduling"" ",
MQ,MQ,"""MQ"":""MQ"" ",
MR,Moving Range,"""MR"":""Moving Range"" ",
MRA,Mutual Recognition Arrangement,"""MRA"":""Mutual Recognition Arrangement"" ",
MRB,Material Review Board,"""MRB"":""Material Review Board"" ",
MRex,Master Rex,"""MRex"":""Master Rex"" ",
MREX,Master Rex,"""MREX"":""Master Rex"" ",
MRL,Manufacturing Readiness Level,"""MRL"":""Manufacturing Readiness Level"" ",
MRO,Maintenance Repair and Overhaul ,"""MRO"":""Maintenance Repair and Overhaul "" ",
MRO,"Maintenance, Repair & Operations/non-Raw Material","""MRO"":""Maintenance, Repair & Operations/non-Raw Material"" ",
MRP,Material Requirement Planning,"""MRP"":""Material Requirement Planning"" ",
MSA,MSA,"""MSA"":""MSA"" ",
MSA,Management Science of America,"""MSA"":""Management Science of America"" ",
MSA,Measurement Systems Analysis,"""MSA"":""Measurement Systems Analysis"" ",
MSAA,Microsoft Active Accessibility,"""MSAA"":""Microsoft Active Accessibility"" ",
MSCA,Mobile Supply Chain Apps,"""MSCA"":""Mobile Supply Chain Apps"" ",
MSDS,Material Safety Data Sheet: A form containing data regarding the properties of a particle substance.,"""MSDS"":""Material Safety Data Sheet: A form containing data regarding the properties of a particle substance."" ",
MSO,Multi Shop owner,"""MSO"":""Multi Shop owner"" ",
MSLB,Main Steam Line Break,"""MSLB"":""Main Steam Line Break"" ",
MSTSC,Microsoft Terminal Services Client,"""MSTSC"":""Microsoft Terminal Services Client"" ",
MSW,Municipal Solid Waste,"""MSW"":""Municipal Solid Waste"" ",
MTD,Month To Date,"""MTD"":""Month To Date"" ",
MTO,Make to order,"""MTO"":""Make to order"" ",
MTS,Make to stock,"""MTS"":""Make to stock"" ",
MUE Image,MUE Image,"""MUE Image"":""MUE Image"" ",
MUG,Manufacturing User Group,"""MUG"":""Manufacturing User Group"" ",
MUI,Multi User Interface,"""MUI"":""Multi User Interface"" ",
Multi-Value,Multi-Value,"""Multi-Value"":""Multi-Value"" ",
MV,Masking View,"""MV"":""Masking View"" ",
MW,MidWest,"""MW"":""MidWest"" ",
MW,Mixed Waste,"""MW"":""Mixed Waste"" ",
MWD,MidWest Division,"""MWD"":""MidWest Division"" ",
My Sherwin,My Sherwin,"""My Sherwin"":""My Sherwin"" ",
MySherwin,MySherwin,"""MySherwin"":""MySherwin"" ",
NA,North America,"""NA"":""North America"" ",
NAAQS,National Ambient Air Quality Standards,"""NAAQS"":""National Ambient Air Quality Standards"" ",
NADCAP,"National Aerospace & Defense Contractors Accreditation Program,","""NADCAP"":""National Aerospace & Defense Contractors Accreditation Program,"" ",
NAFTA,North American Free Trade Agreement,"""NAFTA"":""North American Free Trade Agreement"" ",
NAHB,National Association of Home Builders,"""NAHB"":""National Association of Home Builders"" ",
NAICS,North American Industry Classification System,"""NAICS"":""North American Industry Classification System"" ",
NAL,Novell Application Launcher,"""NAL"":""Novell Application Launcher"" ",
NAPHTHA,NAPHTHA,"""NAPHTHA"":""NAPHTHA"" ",
NASL,Nuclear Approved Supplier List,"""NASL"":""Nuclear Approved Supplier List"" ",
NBS,National Bureau of Standards,"""NBS"":""National Bureau of Standards"" ",
NC,Non-Conformance,"""NC"":""Non-Conformance"" ",
NCCM,Network Change & Control Management,"""NCCM"":""Network Change & Control Management"" ",
NCFG,Non-Conforming Finished Goods,"""NCFG"":""Non-Conforming Finished Goods"" ",
NCP,National Contingency Plan,"""NCP"":""National Contingency Plan"" ",
NDA,Non-Disclosure Agreement,"""NDA"":""Non-Disclosure Agreement"" ",
NDE,Nondestructive Examination,"""NDE"":""Nondestructive Examination"" ",
NDLV,Non-Stop Delivery,"""NDLV"":""Non-Stop Delivery"" ",
NDT,Nondestructive Testing,"""NDT"":""Nondestructive Testing"" ",
NEMF,New England Motor Freight,"""NEMF"":""New England Motor Freight"" ",
NESHAP,National Emission Standard for HAPs,"""NESHAP"":""National Emission Standard for HAPs"" ",
Net,Net,"""Net"":""Net"" ",
Netezza,Netezza,"""Netezza"":""Netezza"" ",
New Products,New Products,"""New Products"":""New Products"" ",
NFA,No Further Action,"""NFA"":""No Further Action"" ",
NFI,New Formula Introduction,"""NFI"":""New Formula Introduction"" ",
NFPA,National Fire Protection Association,"""NFPA"":""National Fire Protection Association"" ",
NGT,Nominal Group Technique,"""NGT"":""Nominal Group Technique"" ",
NHOT , New Hire Orientation Training ,"""NHOT "":"" New Hire Orientation Training "" ",
NIAC,Nuclear Industry Assessment Committee,"""NIAC"":""Nuclear Industry Assessment Committee"" ",
NIC,Network Infrastructure Control,"""NIC"":""Network Infrastructure Control"" ",
NID,National Identifier Number,"""NID"":""National Identifier Number"" ",
NIST,National Institute of Standards and Technology,"""NIST"":""National Institute of Standards and Technology"" ",
NMFA,National Motor Freight Classification,"""NMFA"":""National Motor Freight Classification"" ",
NMR,Nuclear Magnetic Resonance,"""NMR"":""Nuclear Magnetic Resonance"" ",
NNCDB,National Non-Conformance DB,"""NNCDB"":""National Non-Conformance DB"" ",
NNSA,National Nuclear Safety Administration,"""NNSA"":""National Nuclear Safety Administration"" ",
NOL,Net Operating Losses,"""NOL"":""Net Operating Losses"" ",
Non Consigned,Non Consigned,"""Non Consigned"":""Non Consigned"" ",
Non-Merch,Non-Merchandise,"""Non-Merch"":""Non-Merchandise"" ",
Non-preventable accidents,Non-preventable accidents,"""Non-preventable accidents"":""Non-preventable accidents"" ",
NPA,Non-Preventable Accidents,"""NPA"":""Non-Preventable Accidents"" ",
NPC,New Product Commercialization,"""NPC"":""New Product Commercialization"" ",
NPD ,New Product Development,"""NPD "":""New Product Development"" ",
NPDES,National Pollutant Discharge Elimination System,"""NPDES"":""National Pollutant Discharge Elimination System"" ",
NPI,NPI,"""NPI"":""NPI"" ",
NPL,National Priorities List,"""NPL"":""National Priorities List"" ",
NQA-1-2008/2009,Nuclear Quality Assurance-1-2008 ,"""NQA-1-2008/2009"":""Nuclear Quality Assurance-1-2008 "" ",
NRC,National Response Center,"""NRC"":""National Response Center"" ",
NRC,Nuclear Regulatory Commission,"""NRC"":""Nuclear Regulatory Commission"" ",
NSF,National Sanitary Foundation ,"""NSF"":""National Sanitary Foundation "" ",
NSI,NSI,"""NSI"":""NSI"" ",
NSPS,New Source Performance Standards,"""NSPS"":""New Source Performance Standards"" ",
NSR,New Source Review,"""NSR"":""New Source Review"" ",
NUPIC,Nuclear procurement Issues Committee,"""NUPIC"":""Nuclear procurement Issues Committee"" ",
NVLAP,National Voluntary laboratory Accreditation Program,"""NVLAP"":""National Voluntary laboratory Accreditation Program"" ",
NVM,Non-Volatile Material,"""NVM"":""Non-Volatile Material"" ",
O&G,Oil and Gas,"""O&G"":""Oil and Gas"" ",
O/O,Owner/Operators,"""O/O"":""Owner/Operators"" ",
OAC,Oracle Analytics Cloud,"""OAC"":""Oracle Analytics Cloud"" ",
OAM,Oracle Access Manager,"""OAM"":""Oracle Access Manager"" ",
OAQPS,Office of Air Quality Planning and Standards,"""OAQPS"":""Office of Air Quality Planning and Standards"" ",
OAS,Oracle Application Server,"""OAS"":""Oracle Application Server"" ",
OBIEE,Oracle Business Internal Enterprise Edition,"""OBIEE"":""Oracle Business Internal Enterprise Edition"" ",
OCI,Oracle Client Interface,"""OCI"":""Oracle Client Interface"" ",
OCR,Optical Character Recognition,"""OCR"":""Optical Character Recognition"" ",
ODBC,Open Data Base Connection,"""ODBC"":""Open Data Base Connection"" ",
ODC,Oracle Document Capture,"""ODC"":""Oracle Document Capture"" ",
ODI,Oracle Data Integrator,"""ODI"":""Oracle Data Integrator"" ",
OE,Original Equipment,"""OE"":""Original Equipment"" ",
OEE,Overall Equipment Effectiveness,"""OEE"":""Overall Equipment Effectiveness"" ",
OEI,Original Equipment Interior,"""OEI"":""Original Equipment Interior"" ",
OEL,Occupational Exposure Limits,"""OEL"":""Occupational Exposure Limits"" ",
OEM,"1. Oracle Enterprise Management
2. Original Equipment Manfacturer","""OEM"":""1. Oracle Enterprise Management
2. Original Equipment Manfacturer"" ",
OER,Online Event Registry,"""OER"":""Online Event Registry"" ",
OER,Office of Environmental Restoration,"""OER"":""Office of Environmental Restoration"" ",
OERR,Office of Emergency and Remedial Response ,"""OERR"":""Office of Emergency and Remedial Response "" ",
Office Add-In,Office Add-In,"""Office Add-In"":""Office Add-In"" ",
OFI,Opportunity For Improvement,"""OFI"":""Opportunity For Improvement"" ",
OFR,Optical Reader for scanning invoices.,"""OFR"":""Optical Reader for scanning invoices."" ",
OHS,Occupational Health System,"""OHS"":""Occupational Health System"" ",
OIM,Oracle Identity Management: ,"""OIM"":""Oracle Identity Management: "" ",
OJT,On the Job Training,"""OJT"":""On the Job Training"" ",
OM,Oracle's acronym for Order Management,"""OM"":""Oracle's acronym for Order Management"" ",
Omni Fill,Omni Fill,"""Omni Fill"":""Omni Fill"" ",
OnBase Document Repository, A document management system that contains all technical project documents that can be searched across departments and sites.,"""OnBase Document Repository"":"" A document management system that contains all technical project documents that can be searched across departments and sites."" ",
Onboarding , The initial training process for new hires covering the basic functions of starting work at SW.,"""Onboarding "":"" The initial training process for new hires covering the basic functions of starting work at SW."" ",
OO,Owner/Operator,"""OO"":""Owner/Operator"" ",
OP16,OP16,"""OP16"":""OP16"" ",
OP-16,OP-16,"""OP-16"":""OP-16"" ",
OPEX,Operational Excellence,"""OPEX"":""Operational Excellence"" ",
OPO,Oracle Purchase Order,"""OPO"":""Oracle Purchase Order"" ",
OPP,Original Purchase Price,"""OPP"":""Original Purchase Price"" ",
OR,Only Representative,"""OR"":""Only Representative"" ",
Oracle AP,Oracle AP,"""Oracle AP"":""Oracle AP"" ",
Oracle EAM ,expense purchasing and preventative maintenance system,"""Oracle EAM "":""expense purchasing and preventative maintenance system"" ",
Oracle EPBCS,Oracle Enterprise Planning and Budgeting Cloud Service,"""Oracle EPBCS"":""Oracle Enterprise Planning and Budgeting Cloud Service"" ",
Oralce SV,Oracle SmartView,"""Oralce SV"":""Oracle SmartView"" ",
Order Classes,Order Classes,"""Order Classes"":""Order Classes"" ",
Order Completeness,Order Completeness,"""Order Completeness"":""Order Completeness"" ",
Order Creation,Order Creation,"""Order Creation"":""Order Creation"" ",
Order Picker,Order Picker,"""Order Picker"":""Order Picker"" ",
OSCC,Open Scape Contact Center,"""OSCC"":""Open Scape Contact Center"" ",
OSHA , Occupation Safety & Health Administration,"""OSHA "":"" Occupation Safety & Health Administration"" ",
OSND,Overage Shortage and Damage,"""OSND"":""Overage Shortage and Damage"" ",
OSW,Office of Solid Waste,"""OSW"":""Office of Solid Waste"" ",
OSWER,Office of Solid Waste and Emergency Response,"""OSWER"":""Office of Solid Waste and Emergency Response"" ",
OTC,Order to Cash,"""OTC"":""Order to Cash"" ",
OTC,Ozone Transport Commission,"""OTC"":""Ozone Transport Commission"" ",
OTIF,On Time In Full,"""OTIF"":""On Time In Full"" ",
OTMIC,Off The Mill In-Control,"""OTMIC"":""Off The Mill In-Control"" ",
s,Off The Mill In Spec,"""s"":""Off The Mill In Spec"" ",
